id,dataset,p,q,P,Q,s,ar,ma,sar,sma,r_loglik,py_loglik
255,macro_gdp_growth,2,2,0,0,0,"[0.5, 0.1]","[0.4, 0.2]",[],[],-286.443577215213,-286.4435772101262
256,macro_gdp_growth,2,2,0,0,0,"[0.3, 0.3]","[0.3, -0.3]",[],[],-286.057105080755,-286.0571050420898
257,macro_gdp_growth,2,2,0,0,0,"[0.6, -0.2]","[-0.4, 0.2]",[],[],-290.039069032321,-290.0390690358656
258,macro_gdp_growth,2,2,0,0,0,"[-0.4, 0.3]","[0.5, -0.1]",[],[],-294.152512371225,-294.1525123864346
259,elnino_monthly,1,0,0,0,0,[0.3],[],[],[],-1265.87667778654,-1265.8766777865412
260,elnino_monthly,1,0,0,0,0,[0.5],[],[],[],-1166.07824970672,-1166.0782497067244
261,elnino_monthly,1,0,0,0,0,[0.7],[],[],[],-1016.31578300277,-1016.3157830027651
262,elnino_monthly,1,0,0,0,0,[-0.3],[],[],[],-1450.66187756353,-1450.6618775635252
263,elnino_monthly,1,0,0,0,0,[-0.5],[],[],[],-1493.57210597755,-1493.5721059775499
264,elnino_monthly,2,0,0,0,0,"[0.5, 0.1]",[],[],[],-1100.94953706243,-1100.949537062434
265,elnino_monthly,2,0,0,0,0,"[0.3, 0.3]",[],[],[],-1102.40207111222,-1102.4020711122193
266,elnino_monthly,2,0,0,0,0,"[0.6, -0.2]",[],[],[],-1219.4860677722,-1219.4860677721977
267,elnino_monthly,2,0,0,0,0,"[-0.4, 0.3]",[],[],[],-1401.48112909037,-1401.4811290903745
268,elnino_monthly,2,0,0,0,0,"[0.2, 0.5]",[],[],[],-1022.1257513537,-1022.1257513537008
269,elnino_monthly,3,0,0,0,0,"[0.5, -0.2, 0.1]",[],[],[],-1220.14027470766,-1220.1402747076554
270,elnino_monthly,3,0,0,0,0,"[0.3, 0.2, -0.3]",[],[],[],-1304.84053827359,-1304.8405382735943
271,elnino_monthly,3,0,0,0,0,"[0.6, -0.1, -0.2]",[],[],[],-1264.7483587467,-1264.748358746698
272,elnino_monthly,0,1,0,0,0,[],[0.2],[],[],-1317.73674532741,-1317.736745335095
273,elnino_monthly,0,1,0,0,0,[],[0.4],[],[],-1271.70860960901,-1271.7086096283988
274,elnino_monthly,0,1,0,0,0,[],[0.6],[],[],-1231.90311326977,-1231.903113301888
275,elnino_monthly,0,1,0,0,0,[],[-0.3],[],[],-1478.65091052712,-1478.6509105231767
276,elnino_monthly,0,1,0,0,0,[],[-0.5],[],[],-1578.89447232059,-1578.894472271188
277,elnino_monthly,0,2,0,0,0,[],"[0.4, 0.2]",[],[],-1231.99809436289,-1231.9980943639762
278,elnino_monthly,0,2,0,0,0,[],"[0.3, -0.3]",[],[],-1371.87328788087,-1371.8732879243291
279,elnino_monthly,0,2,0,0,0,[],"[-0.4, 0.2]",[],[],-1439.37849884533,-1439.3784988730822
280,elnino_monthly,0,2,0,0,0,[],"[0.5, -0.1]",[],[],-1271.69366779212,-1271.693667819759
281,elnino_monthly,0,3,0,0,0,[],"[0.4, 0.2, -0.1]",[],[],-1251.09702579667,-1251.0970258357759
282,elnino_monthly,0,3,0,0,0,[],"[0.3, -0.2, 0.2]",[],[],-1294.42098518808,-1294.4209852524466
283,elnino_monthly,0,3,0,0,0,[],"[-0.3, 0.2, 0.1]",[],[],-1373.16695623465,-1373.166956254061
284,elnino_monthly,1,1,0,0,0,[0.3],[0.2],[],[],-1211.4980592571,-1211.4980592588213
285,elnino_monthly,1,1,0,0,0,[0.5],[0.4],[],[],-1065.92914880405,-1065.9291488150222
286,elnino_monthly,1,1,0,0,0,[0.7],[0.6],[],[],-877.556297985368,-877.5562980117435
287,elnino_monthly,1,1,0,0,0,[-0.3],[-0.3],[],[],-1557.21629225675,-1557.2162922433743
288,elnino_monthly,1,1,0,0,0,[-0.5],[-0.5],[],[],-1700.52890194873,-1700.528901917027
289,elnino_monthly,2,1,0,0,0,"[0.5, 0.1]",[0.2],[],[],-1046.72658400176,-1046.7265840083278
290,elnino_monthly,2,1,0,0,0,"[0.3, 0.3]",[0.4],[],[],-1002.29886642309,-1002.298866433582
291,elnino_monthly,2,1,0,0,0,"[0.6, -0.2]",[0.6],[],[],-1079.78141632603,-1079.7814163625694
292,elnino_monthly,2,1,0,0,0,"[-0.4, 0.3]",[-0.3],[],[],-1507.98833307568,-1507.9883330389684
293,elnino_monthly,2,1,0,0,0,"[0.2, 0.5]",[-0.5],[],[],-1225.95753917961,-1225.9575391420135
294,elnino_monthly,1,2,0,0,0,[0.3],"[0.4, 0.2]",[],[],-1125.89608916914,-1125.8960891796332
295,elnino_monthly,1,2,0,0,0,[0.5],"[0.3, -0.3]",[],[],-1165.72659428573,-1165.7265943204998
296,elnino_monthly,1,2,0,0,0,[0.7],"[-0.4, 0.2]",[],[],-1083.54111086757,-1083.541110892641
297,elnino_monthly,1,2,0,0,0,[-0.3],"[0.5, -0.1]",[],[],-1349.97276906377,-1349.97276909314
298,elnino_monthly,2,2,0,0,0,"[0.5, 0.1]","[0.4, 0.2]",[],[],-961.580336122885,-961.580336141802
299,elnino_monthly,2,2,0,0,0,"[0.3, 0.3]","[0.3, -0.3]",[],[],-1101.39717805758,-1101.3971781102582
300,elnino_monthly,2,2,0,0,0,"[0.6, -0.2]","[-0.4, 0.2]",[],[],-1286.39910372974,-1286.3991037399142
301,elnino_monthly,2,2,0,0,0,"[-0.4, 0.3]","[0.5, -0.1]",[],[],-1300.52974778353,-1300.5297478244408
302,co2_diff,1,0,0,0,0,[0.3],[],[],[],-311.087184486508,-311.08718448650757
303,co2_diff,1,0,0,0,0,[0.5],[],[],[],-333.614713294466,-333.6147132944657
304,co2_diff,1,0,0,0,0,[0.7],[],[],[],-365.684774398792,-365.68477439879246
305,co2_diff,1,0,0,0,0,[-0.3],[],[],[],-328.693605905042,-328.6936059050421
306,co2_diff,1,0,0,0,0,[-0.5],[],[],[],-359.30293620771,-359.3029362077102
307,co2_diff,2,0,0,0,0,"[0.5, 0.1]",[],[],[],-331.008726150798,-331.0087261507979
308,co2_diff,2,0,0,0,0,"[0.3, 0.3]",[],[],[],-311.719100670201,-311.71910067020065
309,co2_diff,2,0,0,0,0,"[0.6, -0.2]",[],[],[],-361.897404734678,-361.8974047346777
310,co2_diff,2,0,0,0,0,"[-0.4, 0.3]",[],[],[],-338.04742579376,-338.0474257937599
311,co2_diff,2,0,0,0,0,"[0.2, 0.5]",[],[],[],-322.73201835519,-322.7320183551899
312,co2_diff,3,0,0,0,0,"[0.5, -0.2, 0.1]",[],[],[],-345.295435271453,-345.29543527145336
313,co2_diff,3,0,0,0,0,"[0.3, 0.2, -0.3]",[],[],[],-338.994076507463,-338.9940765074633
314,co2_diff,3,0,0,0,0,"[0.6, -0.1, -0.2]",[],[],[],-366.91946100428,-366.91946100427964
315,co2_diff,0,1,0,0,0,[],[0.2],[],[],-306.862844673233,-306.8628446716625
316,co2_diff,0,1,0,0,0,[],[0.4],[],[],-330.522612974468,-330.5226129621651
317,co2_diff,0,1,0,0,0,[],[0.6],[],[],-379.788149811817,-379.78814976031583
318,co2_diff,0,1,0,0,0,[],[-0.3],[],[],-339.418750444926,-339.4187504430279
319,co2_diff,0,1,0,0,0,[],[-0.5],[],[],-404.776829540694,-404.77682950362237
320,co2_diff,0,2,0,0,0,[],"[0.4, 0.2]",[],[],-324.643714200824,-324.64371420638514
321,co2_diff,0,2,0,0,0,[],"[0.3, -0.3]",[],[],-359.365864447253,-359.3658643803949
322,co2_diff,0,2,0,0,0,[],"[-0.4, 0.2]",[],[],-332.193932067679,-332.1939320799471
323,co2_diff,0,2,0,0,0,[],"[0.5, -0.1]",[],[],-367.301088045834,-367.3010879981341
324,co2_diff,0,3,0,0,0,[],"[0.4, 0.2, -0.1]",[],[],-334.797575555175,-334.79757552601484
325,co2_diff,0,3,0,0,0,[],"[0.3, -0.2, 0.2]",[],[],-362.253227749402,-362.25322750403296
326,co2_diff,0,3,0,0,0,[],"[-0.3, 0.2, 0.1]",[],[],-312.205017655979,-312.2050176573385
327,co2_diff,1,1,0,0,0,[0.3],[0.2],[],[],-338.704486844704,-338.70448684384627
328,co2_diff,1,1,0,0,0,[0.5],[0.4],[],[],-424.280407173341,-424.2804071600648
329,co2_diff,1,1,0,0,0,[0.7],[0.6],[],[],-542.981386653612,-542.9813865928968
330,co2_diff,1,1,0,0,0,[-0.3],[-0.3],[],[],-398.142142790916,-398.1421427811244
331,co2_diff,1,1,0,0,0,[-0.5],[-0.5],[],[],-532.163628128294,-532.1636280984253
332,co2_diff,2,1,0,0,0,"[0.5, 0.1]",[0.2],[],[],-366.938638748795,-366.9386387430858
333,co2_diff,2,1,0,0,0,"[0.3, 0.3]",[0.4],[],[],-365.377071673724,-365.3770716662392
334,co2_diff,2,1,0,0,0,"[0.6, -0.2]",[0.6],[],[],-550.065142801321,-550.0651427125235
335,co2_diff,2,1,0,0,0,"[-0.4, 0.3]",[-0.3],[],[],-389.056500590813,-389.056500571897
336,co2_diff,2,1,0,0,0,"[0.2, 0.5]",[-0.5],[],[],-311.396933287893,-311.3969332867507
337,co2_diff,1,2,0,0,0,[0.3],"[0.4, 0.2]",[],[],-373.600152790155,-373.6001527818687
338,co2_diff,1,2,0,0,0,[0.5],"[0.3, -0.3]",[],[],-446.174958132349,-446.17495803648126
339,co2_diff,1,2,0,0,0,[0.7],"[-0.4, 0.2]",[],[],-312.307696957125,-312.3076969539361
340,co2_diff,1,2,0,0,0,[-0.3],"[0.5, -0.1]",[],[],-320.286597033792,-320.2865970123989
341,co2_diff,2,2,0,0,0,"[0.5, 0.1]","[0.4, 0.2]",[],[],-410.554244714044,-410.55424469768104
342,co2_diff,2,2,0,0,0,"[0.3, 0.3]","[0.3, -0.3]",[],[],-361.532313126819,-361.5323130345972
343,co2_diff,2,2,0,0,0,"[0.6, -0.2]","[-0.4, 0.2]",[],[],-302.990705746786,-302.9907057509932
344,co2_diff,2,2,0,0,0,"[-0.4, 0.3]","[0.5, -0.1]",[],[],-302.344788891208,-302.34478889815136
345,macro_gdp_growth,1,0,1,0,4,[0.4],[],[0.5],[],-271.694319298569,-271.69431929856864
346,macro_gdp_growth,1,0,1,0,4,[-0.3],[],[-0.4],[],-403.374529647531,-403.37452964753106
347,macro_gdp_growth,0,1,0,1,4,[],[0.3],[],[0.4],-283.092199521446,-283.09219952353504
348,macro_gdp_growth,0,1,0,1,4,[],[-0.2],[],[0.3],-327.32037651407,-327.3203765134928
349,macro_gdp_growth,1,0,0,1,4,[0.4],[],[],[0.4],-274.186305560134,-274.18630556046753
350,macro_gdp_growth,1,0,0,1,4,[-0.3],[],[],[0.3],-334.701543793564,-334.7015437910272
351,macro_gdp_growth,0,1,1,0,4,[],[0.3],[0.5],[],-276.748582432019,-276.74858243290277
352,macro_gdp_growth,0,1,1,0,4,[],[-0.2],[-0.4],[],-396.200154986472,-396.2001549854213
353,macro_gdp_growth,1,1,1,1,4,[0.4],[0.3],[0.5],[0.4],-316.989340958159,-316.9893409518713
354,macro_gdp_growth,1,1,1,1,4,[-0.3],[-0.2],[-0.4],[0.3],-402.052213616402,-402.0522136226242
357,elnino_monthly,1,0,1,0,12,[0.4],[],[0.5],[],-1026.2994082489,-1026.2994082488967
358,elnino_monthly,1,0,1,0,12,[-0.3],[],[-0.4],[],-1549.15901607752,-1549.1590160775177
359,elnino_monthly,0,1,0,1,12,[],[0.3],[],[0.4],-1197.43730845036,-1197.4373084641268
360,elnino_monthly,0,1,0,1,12,[],[-0.2],[],[0.3],-1363.48557059315,-1363.4855705962714
361,elnino_monthly,1,0,0,1,12,[0.4],[],[],[0.4],-1123.71721213843,-1123.7172121483577
362,elnino_monthly,1,0,0,1,12,[-0.3],[],[],[0.3],-1375.33272651208,-1375.3327265133103
363,elnino_monthly,0,1,1,0,12,[],[0.3],[0.5],[],-1099.96418538327,-1099.9641853894695
364,elnino_monthly,0,1,1,0,12,[],[-0.2],[-0.4],[],-1537.31288035665,-1537.3128803547654
365,elnino_monthly,1,1,1,1,12,[0.4],[0.3],[0.5],[0.4],-856.310202912479,-856.3102029218692
366,elnino_monthly,1,1,1,1,12,[-0.3],[-0.2],[-0.4],[0.3],-1539.00030243677,-1539.0003024461748
